circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:29060422|29097935	chr1	29060422	29097935	7	0_2_2	22	0.389	exon	uc001brm.2,uc001brg.3,uc057eac.1,uc057eae.1,uc001brh.3,	+	ST-E00206:201:H5L57ALXX:4:1113:31074:60343,ST-E00206:209:H5CCCALXX:5:2119:26141:35098,ST-E00206:201:H5L57ALXX:4:1118:16072:69063,ST-E00206:201:H5L57ALXX:4:1208:27786:45365,ST-E00206:201:H5L57ALXX:4:2101:30496:46719,ST-E00206:209:H5CCCALXX:5:2119:26781:36839,ST-E00206:209:H5CCCALXX:5:2109:9485:23970,
chr1:29148080|29149226	chr1	29148080	29149226	5	2_2_0	25	0.286	exon	uc001bro.4,uc284mny.1,	-	ST-E00206:201:H5L57ALXX:4:1115:21980:64809,ST-E00206:209:H5CCCALXX:5:2201:31683:24937,ST-E00206:209:H5CCCALXX:5:2201:30353:25376,ST-E00206:209:H5CCCALXX:5:2224:25431:1836,ST-E00206:209:H5CCCALXX:5:1114:12205:50094,
chr1:29154696|29154910	chr1	29154696	29154910	42	13_14_1	53	0.613	exon	uc001bro.4,uc284mny.1,uc057eam.1,	-	ST-E00206:209:H5CCCALXX:5:2218:15778:66444,ST-E00206:209:H5CCCALXX:5:2119:28851:55755,ST-E00206:201:H5L57ALXX:4:1107:9211:64914,ST-E00206:201:H5L57ALXX:4:1107:7709:65864,ST-E00206:201:H5L57ALXX:4:1116:27359:20717,ST-E00206:201:H5L57ALXX:4:1116:27369:20805,ST-E00206:201:H5L57ALXX:4:1121:29105:6372,ST-E00206:201:H5L57ALXX:4:1206:12682:21702,ST-E00206:201:H5L57ALXX:4:1206:24700:38790,ST-E00206:209:H5CCCALXX:5:2223:2634:30562,ST-E00206:201:H5L57ALXX:4:1222:18336:63104,ST-E00206:201:H5L57ALXX:4:1223:26557:31213,ST-E00206:201:H5L57ALXX:4:2101:15697:48758,ST-E00206:209:H5CCCALXX:5:2103:30394:70558,ST-E00206:201:H5L57ALXX:4:2102:26781:5862,ST-E00206:201:H5L57ALXX:4:2102:7475:52872,ST-E00206:209:H5CCCALXX:5:2201:21229:30668,ST-E00206:201:H5L57ALXX:4:2108:12256:11576,ST-E00206:201:H5L57ALXX:4:2109:32444:32690,ST-E00206:209:H5CCCALXX:5:2211:17250:37946,ST-E00206:201:H5L57ALXX:4:2115:24152:16498,ST-E00206:201:H5L57ALXX:4:2116:16296:36118,ST-E00206:201:H5L57ALXX:4:2123:5110:41181,ST-E00206:201:H5L57ALXX:4:2124:31703:56757,ST-E00206:201:H5L57ALXX:4:2203:10388:72087,ST-E00206:209:H5CCCALXX:5:2103:30353:72738,ST-E00206:201:H5L57ALXX:4:2221:3547:55386,ST-E00206:209:H5CCCALXX:5:1104:32099:8147,ST-E00206:209:H5CCCALXX:5:1224:19148:54806,ST-E00206:209:H5CCCALXX:5:2124:17341:62260,ST-E00206:209:H5CCCALXX:5:1115:14113:52133,ST-E00206:209:H5CCCALXX:5:1124:14489:47158,ST-E00206:209:H5CCCALXX:5:1124:14489:47193,ST-E00206:209:H5CCCALXX:5:1124:14986:49989,ST-E00206:209:H5CCCALXX:5:1205:17006:45541,ST-E00206:209:H5CCCALXX:5:1214:17077:48477,ST-E00206:209:H5CCCALXX:5:2222:21736:57320,ST-E00206:201:H5L57ALXX:4:1111:14032:38526,ST-E00206:209:H5CCCALXX:5:2104:7729:29402,ST-E00206:201:H5L57ALXX:4:1218:3222:19557,ST-E00206:209:H5CCCALXX:5:1220:28973:25833,ST-E00206:209:H5CCCALXX:5:2112:19016:44697,
chr1:30992390|31007099	chr1	30992390	31007099	5	3_3_0	44	0.185	exon	uc001bsi.2,uc057ecr.1,uc057ecs.1,uc001bsh.2,uc001bsj.2,uc001bsk.2,	-	ST-E00206:201:H5L57ALXX:4:1210:14590:33410,ST-E00206:201:H5L57ALXX:4:1211:32048:60132,ST-E00206:201:H5L57ALXX:4:1213:14824:68202,ST-E00206:209:H5CCCALXX:5:2218:20417:1801,ST-E00206:209:H5CCCALXX:5:2103:20244:70487,
chr1:30992390|31007102	chr1	30992390	31007102	18	7_8_1	44	0.450	exon	uc001bsi.2,uc057ecr.1,uc001bsj.2,uc001bsk.2,uc001bsh.2,uc057ecs.1,	-	ST-E00206:201:H5L57ALXX:4:1112:23299:15408,ST-E00206:201:H5L57ALXX:4:1123:7648:27890,ST-E00206:209:H5CCCALXX:5:2204:19848:42306,ST-E00206:209:H5CCCALXX:5:2208:9993:15566,ST-E00206:201:H5L57ALXX:4:2105:14256:41198,ST-E00206:209:H5CCCALXX:5:1222:15910:50217,ST-E00206:209:H5CCCALXX:5:2209:20122:70698,ST-E00206:201:H5L57ALXX:4:2202:28202:62365,ST-E00206:201:H5L57ALXX:4:2206:23188:68378,ST-E00206:209:H5CCCALXX:5:2204:19249:43132,ST-E00206:209:H5CCCALXX:5:2204:20833:37366,ST-E00206:209:H5CCCALXX:5:2204:21249:37384,ST-E00206:209:H5CCCALXX:5:1122:22650:72368,ST-E00206:209:H5CCCALXX:5:1123:10043:21667,ST-E00206:209:H5CCCALXX:5:1210:25806:2100,ST-E00206:209:H5CCCALXX:5:2215:4999:50762,ST-E00206:209:H5CCCALXX:5:1201:21706:12226,ST-E00206:209:H5CCCALXX:5:1201:22112:15355,
chr1:31005853|31007102	chr1	31005853	31007102	11	4_3_1	86	0.204	exon	uc057ede.1,uc057ecs.1,uc001bsh.2,uc001bsk.2,uc057edf.1,uc001bsj.2,uc057ecr.1,uc001bsi.2,	-	ST-E00206:201:H5L57ALXX:4:1107:2350:73388,ST-E00206:209:H5CCCALXX:5:1220:7516:61662,ST-E00206:201:H5L57ALXX:4:1211:3425:69204,ST-E00206:201:H5L57ALXX:4:1215:31145:72702,ST-E00206:201:H5L57ALXX:4:2211:28283:50762,ST-E00206:209:H5CCCALXX:5:2122:28790:25236,ST-E00206:209:H5CCCALXX:5:1122:28780:28488,ST-E00206:201:H5L57ALXX:4:1106:9292:49830,ST-E00206:201:H5L57ALXX:4:1219:11708:14248,ST-E00206:201:H5L57ALXX:4:2204:22041:17623,ST-E00206:209:H5CCCALXX:5:1217:25948:72949,
chr1:31318167|31339048	chr1	31318167	31339048	2	0_2_2	6	0.400	exon	uc001bsq.2,uc031tvv.1,uc057eds.1,	+	ST-E00206:201:H5L57ALXX:4:2120:5080:8745,ST-E00206:209:H5CCCALXX:5:2104:6653:49479,
chr1:31337175|31348974	chr1	31337175	31348974	15	4_4_1	9	0.769	exon	uc001bsr.3,uc001bsq.2,uc057edu.1,uc057edt.1,uc009vtv.2,uc001bsp.3,	+	ST-E00206:209:H5CCCALXX:5:2117:2624:46930,ST-E00206:209:H5CCCALXX:5:2201:22284:32426,ST-E00206:201:H5L57ALXX:4:1213:18854:52960,ST-E00206:209:H5CCCALXX:5:2201:25827:20946,ST-E00206:201:H5L57ALXX:4:1224:14641:48160,ST-E00206:201:H5L57ALXX:4:1224:18590:53593,ST-E00206:209:H5CCCALXX:5:2214:28618:9536,ST-E00206:201:H5L57ALXX:4:2116:4288:53259,ST-E00206:201:H5L57ALXX:4:2116:4238:54683,ST-E00206:209:H5CCCALXX:5:2117:3334:44890,ST-E00206:209:H5CCCALXX:5:1124:3151:62682,ST-E00206:209:H5CCCALXX:5:1201:24081:41023,ST-E00206:209:H5CCCALXX:5:2104:12134:2750,ST-E00206:209:H5CCCALXX:5:2104:11383:10380,ST-E00206:209:H5CCCALXX:5:2224:24081:15531,
chr1:31346640|31348974	chr1	31346640	31348974	3	1_1_1	11	0.353	exon	uc001bsq.2,uc001bsr.3,uc057edu.1,uc057edt.1,uc031tvx.1,uc001bsp.3,uc009vtv.2,	+	ST-E00206:201:H5L57ALXX:4:2116:26507:16990,ST-E00206:201:H5L57ALXX:4:2202:8754:36803,ST-E00206:209:H5CCCALXX:5:1116:28922:14178,
chr1:31423693|31426823	chr1	31423693	31426823	5	3_2_0	84	0.106	exon	uc001bst.4,uc057eea.1,uc021okm.2,uc010ogh.2,uc010ogg.2,	+	ST-E00206:209:H5CCCALXX:5:2124:5334:56968,ST-E00206:209:H5CCCALXX:5:2204:19452:29279,ST-E00206:209:H5CCCALXX:5:1105:26344:13650,ST-E00206:209:H5CCCALXX:5:2104:30851:38263,ST-E00206:201:H5L57ALXX:4:2207:13352:3664,
chr1:31583461|31585485	chr1	31583461	31585485	4	1_0_2	189	0.041	exon	uc001bta.4,uc057eem.1,uc057eel.1,uc010ogj.3,uc021oko.2,	+	ST-E00206:201:H5L57ALXX:4:1207:11353:39440,ST-E00206:209:H5CCCALXX:5:2102:28019:15426,ST-E00206:201:H5L57ALXX:4:2116:19909:66497,ST-E00206:201:H5L57ALXX:4:2117:3060:49901,
chr1:31915895|31919658	chr1	31915895	31919658	89	25_32_3	1	0.994	exon	uc001bty.2,uc057ehq.1,	-	ST-E00206:201:H5L57ALXX:4:1103:26101:45189,ST-E00206:201:H5L57ALXX:4:1104:28932:53821,ST-E00206:209:H5CCCALXX:5:2116:12550:27451,ST-E00206:201:H5L57ALXX:4:1107:20752:40249,ST-E00206:209:H5CCCALXX:5:2123:16712:6600,ST-E00206:201:H5L57ALXX:4:1110:3476:64123,ST-E00206:201:H5L57ALXX:4:1110:3618:64194,ST-E00206:201:H5L57ALXX:4:1111:20173:18889,ST-E00206:209:H5CCCALXX:5:2105:2685:59130,ST-E00206:201:H5L57ALXX:4:1116:1994:37190,ST-E00206:209:H5CCCALXX:5:2105:3831:58128,ST-E00206:209:H5CCCALXX:5:2216:23857:63525,ST-E00206:201:H5L57ALXX:4:1122:29633:64422,ST-E00206:201:H5L57ALXX:4:1122:13078:64510,ST-E00206:201:H5L57ALXX:4:1122:13098:64510,ST-E00206:209:H5CCCALXX:5:2112:13109:22335,ST-E00206:201:H5L57ALXX:4:1209:6349:65407,ST-E00206:201:H5L57ALXX:4:1211:25309:69098,ST-E00206:201:H5L57ALXX:4:1213:4298:56722,ST-E00206:209:H5CCCALXX:5:2116:12388:26994,ST-E00206:201:H5L57ALXX:4:1216:31287:31037,ST-E00206:201:H5L57ALXX:4:1217:25238:15180,ST-E00206:209:H5CCCALXX:5:2208:22568:4649,ST-E00206:201:H5L57ALXX:4:1219:15149:45769,ST-E00206:201:H5L57ALXX:4:1223:27755:27521,ST-E00206:201:H5L57ALXX:4:2104:17138:9378,ST-E00206:201:H5L57ALXX:4:2104:10084:36083,ST-E00206:201:H5L57ALXX:4:2106:8084:13808,ST-E00206:201:H5L57ALXX:4:2106:8074:13826,ST-E00206:201:H5L57ALXX:4:2106:13799:57109,ST-E00206:209:H5CCCALXX:5:2205:25370:32531,ST-E00206:201:H5L57ALXX:4:2113:32404:63174,ST-E00206:209:H5CCCALXX:5:2111:31927:70224,ST-E00206:201:H5L57ALXX:4:2114:13941:61574,ST-E00206:209:H5CCCALXX:5:2117:30445:52714,ST-E00206:209:H5CCCALXX:5:2204:12378:27152,ST-E00206:201:H5L57ALXX:4:2117:8003:51465,ST-E00206:201:H5L57ALXX:4:2118:9749:28998,ST-E00206:209:H5CCCALXX:5:2116:12814:25482,ST-E00206:201:H5L57ALXX:4:2123:9353:1977,ST-E00206:209:H5CCCALXX:5:2119:8663:17412,ST-E00206:201:H5L57ALXX:4:2204:8937:9519,ST-E00206:209:H5CCCALXX:5:1222:19046:18590,ST-E00206:201:H5L57ALXX:4:2209:18569:6794,ST-E00206:209:H5CCCALXX:5:2122:19280:36329,ST-E00206:201:H5L57ALXX:4:2214:17991:10503,ST-E00206:201:H5L57ALXX:4:2215:11109:63139,ST-E00206:201:H5L57ALXX:4:2216:26537:20559,ST-E00206:209:H5CCCALXX:5:2221:15991:62172,ST-E00206:209:H5CCCALXX:5:2213:12226:33815,ST-E00206:209:H5CCCALXX:5:2212:6552:56300,ST-E00206:209:H5CCCALXX:5:1115:13829:59341,ST-E00206:209:H5CCCALXX:5:1117:2563:65565,ST-E00206:209:H5CCCALXX:5:2101:8074:35168,ST-E00206:209:H5CCCALXX:5:2217:8287:36979,ST-E00206:209:H5CCCALXX:5:1124:22812:42095,ST-E00206:209:H5CCCALXX:5:1202:2309:66075,ST-E00206:209:H5CCCALXX:5:1202:2857:66110,ST-E00206:209:H5CCCALXX:5:1203:14276:11347,ST-E00206:209:H5CCCALXX:5:1204:6491:51026,ST-E00206:209:H5CCCALXX:5:1211:17016:29455,ST-E00206:209:H5CCCALXX:5:1211:12094:39880,ST-E00206:209:H5CCCALXX:5:1212:4857:32268,ST-E00206:209:H5CCCALXX:5:1213:16915:48266,ST-E00206:209:H5CCCALXX:5:1215:31937:10398,ST-E00206:209:H5CCCALXX:5:1215:7800:52942,ST-E00206:209:H5CCCALXX:5:1222:18975:20120,ST-E00206:209:H5CCCALXX:5:1224:25867:6706,ST-E00206:201:H5L57ALXX:4:1105:14651:26835,ST-E00206:209:H5CCCALXX:5:1221:30871:72052,ST-E00206:201:H5L57ALXX:4:1203:8673:10960,ST-E00206:201:H5L57ALXX:4:1214:21827:61767,ST-E00206:209:H5CCCALXX:5:2101:22761:5721,ST-E00206:201:H5L57ALXX:4:1218:31013:69591,ST-E00206:201:H5L57ALXX:4:1220:7993:27328,ST-E00206:201:H5L57ALXX:4:1223:2857:10169,ST-E00206:201:H5L57ALXX:4:2114:30983:4526,ST-E00206:201:H5L57ALXX:4:2118:4359:32707,ST-E00206:201:H5L57ALXX:4:2202:8064:46156,ST-E00206:201:H5L57ALXX:4:2202:8013:46596,ST-E00206:209:H5CCCALXX:5:2202:7790:12455,ST-E00206:209:H5CCCALXX:5:2216:17280:10785,ST-E00206:209:H5CCCALXX:5:1202:13048:16498,ST-E00206:209:H5CCCALXX:5:1207:6775:51624,ST-E00206:209:H5CCCALXX:5:2111:11982:42746,ST-E00206:209:H5CCCALXX:5:1210:25756:16568,ST-E00206:209:H5CCCALXX:5:1210:3984:19786,ST-E00206:209:H5CCCALXX:5:1210:4004:20137,ST-E00206:209:H5CCCALXX:5:2206:16458:53311,
chr1:32030298|32033334	chr1	32030298	32033334	12	3_4_2	84	0.222	exon	uc001buc.3,uc001bua.3,uc057eic.1,uc001bub.5,	+	ST-E00206:209:H5CCCALXX:5:2110:29613:11857,ST-E00206:209:H5CCCALXX:5:2120:15484:16850,ST-E00206:209:H5CCCALXX:5:1217:19990:10275,ST-E00206:209:H5CCCALXX:5:1122:25025:40583,ST-E00206:209:H5CCCALXX:5:1122:25451:40689,ST-E00206:209:H5CCCALXX:5:1122:24609:40706,ST-E00206:209:H5CCCALXX:5:1122:24588:40741,ST-E00206:209:H5CCCALXX:5:1122:20092:44134,ST-E00206:209:H5CCCALXX:5:1202:21665:48969,ST-E00206:209:H5CCCALXX:5:1202:21614:49092,ST-E00206:209:H5CCCALXX:5:1205:19300:54436,ST-E00206:209:H5CCCALXX:5:1218:21807:45910,
chr1:32030298|32038619	chr1	32030298	32038619	10	2_0_3	37	0.351	exon	uc001buc.3,uc001bua.3,uc057eic.1,uc001bub.5,	+	ST-E00206:201:H5L57ALXX:4:1109:27055:18784,ST-E00206:201:H5L57ALXX:4:1109:27014:18854,ST-E00206:209:H5CCCALXX:5:2215:9221:67077,ST-E00206:209:H5CCCALXX:5:2215:29978:10837,ST-E00206:209:H5CCCALXX:5:2215:29785:14441,ST-E00206:201:H5L57ALXX:4:2120:8724:23952,ST-E00206:209:H5CCCALXX:5:2215:29866:10855,ST-E00206:209:H5CCCALXX:5:1201:26628:34114,ST-E00206:209:H5CCCALXX:5:1201:26882:34377,ST-E00206:209:H5CCCALXX:5:1214:7069:23126,
chr1:32036910|32038619	chr1	32036910	32038619	12	5_4_2	123	0.163	exon	uc001bub.5,uc001buc.3,uc001bua.3,uc057eic.1,	+	ST-E00206:209:H5CCCALXX:5:2101:25350:39880,ST-E00206:201:H5L57ALXX:4:1121:11962:34764,ST-E00206:201:H5L57ALXX:4:1214:16905:57812,ST-E00206:201:H5L57ALXX:4:1218:27735:46156,ST-E00206:201:H5L57ALXX:4:1218:27735:46332,ST-E00206:201:H5L57ALXX:4:2104:24933:19926,ST-E00206:201:H5L57ALXX:4:2111:22964:36417,ST-E00206:201:H5L57ALXX:4:2114:17636:51835,ST-E00206:201:H5L57ALXX:4:2211:9617:39036,ST-E00206:209:H5CCCALXX:5:2219:18407:66918,ST-E00206:209:H5CCCALXX:5:1113:25928:8569,ST-E00206:209:H5CCCALXX:5:2214:28872:65705,
chr1:32076763|32077318	chr1	32076763	32077318	2	2_2_0	0	1	exon	uc057eih.1,uc057eie.1,uc057eik.1,uc057eil.1,uc057eij.1,uc057eii.1,uc010ogv.3,	+	ST-E00206:209:H5CCCALXX:5:1121:16194:11822,ST-E00206:209:H5CCCALXX:5:1121:17148:18537,
chr1:32161947|32167296	chr1	32161947	32167296	3	1_1_1	110	0.052	exon	uc057eip.1,uc057ein.1,uc001bug.4,	+	ST-E00206:209:H5CCCALXX:5:2215:18782:44820,ST-E00206:209:H5CCCALXX:5:2215:17717:46068,ST-E00206:209:H5CCCALXX:5:1109:22680:38350,
chr1:32226171|32226530	chr1	32226171	32226530	14	4_4_1	77	0.267	exon	uc057ejk.1,uc057ejj.1,uc009vuc.4,	+	ST-E00206:209:H5CCCALXX:5:2213:7689:13228,ST-E00206:209:H5CCCALXX:5:2203:13241:73054,ST-E00206:201:H5L57ALXX:4:1214:18894:59640,ST-E00206:201:H5L57ALXX:4:1223:24751:35678,ST-E00206:201:H5L57ALXX:4:1223:24639:35801,ST-E00206:201:H5L57ALXX:4:2110:14854:16463,ST-E00206:209:H5CCCALXX:5:2209:11444:38544,ST-E00206:201:H5L57ALXX:4:2213:14448:59078,ST-E00206:201:H5L57ALXX:4:2220:24456:51307,ST-E00206:209:H5CCCALXX:5:2209:10145:31301,ST-E00206:209:H5CCCALXX:5:1209:12449:13738,ST-E00206:209:H5CCCALXX:5:1209:3182:18502,ST-E00206:209:H5CCCALXX:5:1217:21371:73318,ST-E00206:209:H5CCCALXX:5:1121:3101:7954,
chr1:32228499|32229208	chr1	32228499	32229208	8	4_1_3	52	0.235	exon	uc009vuc.4,uc057ejk.1,uc057ejl.1,	+	ST-E00206:209:H5CCCALXX:5:1105:26618:67780,ST-E00206:209:H5CCCALXX:5:1110:10206:8095,ST-E00206:209:H5CCCALXX:5:2123:17839:3524,ST-E00206:209:H5CCCALXX:5:2110:32099:68694,ST-E00206:209:H5CCCALXX:5:2101:24609:41128,ST-E00206:209:H5CCCALXX:5:1215:13586:55966,ST-E00206:209:H5CCCALXX:5:1215:14448:61574,ST-E00206:209:H5CCCALXX:5:1218:8511:42429,
chr1:32279671|32280210	chr1	32279671	32280210	28	3_8_6	11	0.836	exon	uc057ejm.1,uc001bux.3,uc001buy.4,uc057ejr.1,	+	ST-E00206:201:H5L57ALXX:4:1123:1933:17043,ST-E00206:209:H5CCCALXX:5:2122:24517:3875,ST-E00206:201:H5L57ALXX:4:2101:14428:8481,ST-E00206:209:H5CCCALXX:5:2109:4958:33498,ST-E00206:201:H5L57ALXX:4:2208:29805:45840,ST-E00206:201:H5L57ALXX:4:2208:30150:46051,ST-E00206:201:H5L57ALXX:4:2212:7963:49742,ST-E00206:209:H5CCCALXX:5:2109:4968:32602,ST-E00206:201:H5L57ALXX:4:2217:27440:31934,ST-E00206:201:H5L57ALXX:4:2220:27095:22546,ST-E00206:209:H5CCCALXX:5:2209:6166:57495,ST-E00206:209:H5CCCALXX:5:1103:31023:9308,ST-E00206:209:H5CCCALXX:5:2212:25695:32848,ST-E00206:209:H5CCCALXX:5:1108:8947:29719,ST-E00206:209:H5CCCALXX:5:1111:4796:22352,ST-E00206:209:H5CCCALXX:5:2218:6887:57197,ST-E00206:209:H5CCCALXX:5:2212:26385:32953,ST-E00206:209:H5CCCALXX:5:2118:23949:47650,ST-E00206:209:H5CCCALXX:5:2219:3182:25112,ST-E00206:209:H5CCCALXX:5:1208:4938:3788,ST-E00206:209:H5CCCALXX:5:1208:4836:3893,ST-E00206:209:H5CCCALXX:5:1211:13393:7216,ST-E00206:209:H5CCCALXX:5:1216:12083:48160,ST-E00206:209:H5CCCALXX:5:1217:23807:11259,ST-E00206:209:H5CCCALXX:5:1217:23543:11435,ST-E00206:209:H5CCCALXX:5:2203:29399:55790,ST-E00206:209:H5CCCALXX:5:2119:15616:9835,ST-E00206:209:H5CCCALXX:5:1203:26598:72034,
chr1:32592931|32593754	chr1	32592931	32593754	7	3_3_0	5	0.737	exon	uc057ela.1,uc001bvn.4,uc001bvm.4,	+	ST-E00206:209:H5CCCALXX:5:2121:13332:47897,ST-E00206:201:H5L57ALXX:4:2106:14103:38333,ST-E00206:201:H5L57ALXX:4:2120:23238:32039,ST-E00206:201:H5L57ALXX:4:2120:23979:33112,ST-E00206:209:H5CCCALXX:5:2218:28192:25464,ST-E00206:201:H5L57ALXX:4:2217:22619:10327,ST-E00206:209:H5CCCALXX:5:2121:12956:48195,
chr1:32631827|32634792	chr1	32631827	32634792	14	4_1_7	38	0.424	exon	uc001bvp.4,uc057elg.1,uc057ell.1,uc057elj.1,	-	ST-E00206:209:H5CCCALXX:5:2119:14063:59992,ST-E00206:201:H5L57ALXX:4:2103:25360:65178,ST-E00206:201:H5L57ALXX:4:2219:21838:57144,ST-E00206:209:H5CCCALXX:5:2210:13779:51553,ST-E00206:209:H5CCCALXX:5:1202:10378:45383,ST-E00206:209:H5CCCALXX:5:2214:26973:64563,ST-E00206:201:H5L57ALXX:4:1104:14103:43255,ST-E00206:201:H5L57ALXX:4:1104:15169:43449,ST-E00206:209:H5CCCALXX:5:2112:22822:10960,ST-E00206:201:H5L57ALXX:4:2112:29298:47703,ST-E00206:209:H5CCCALXX:5:2219:13890:8745,ST-E00206:201:H5L57ALXX:4:2121:5882:45013,ST-E00206:201:H5L57ALXX:4:2214:6460:51922,ST-E00206:201:H5L57ALXX:4:2220:10317:41269,
chr1:32633645|32634110	chr1	32633645	32634110	7	2_3_0	26	0.350	exon	uc057elm.1,uc057elh.1,uc057elj.1,uc057elk.1,	-	ST-E00206:201:H5L57ALXX:4:1109:18752:52889,ST-E00206:209:H5CCCALXX:5:2218:14925:64862,ST-E00206:201:H5L57ALXX:4:2220:13647:49778,ST-E00206:209:H5CCCALXX:5:1123:25339:48371,ST-E00206:209:H5CCCALXX:5:1123:25329:48529,ST-E00206:209:H5CCCALXX:5:1123:25319:48617,ST-E00206:209:H5CCCALXX:5:1123:24943:56089,
chr1:32668225|32672901	chr1	32668225	32672901	4	2_1_0	8	0.500	exon	uc001bvs.4,uc057elx.1,uc010ohk.3,uc001bvr.3,	+	ST-E00206:209:H5CCCALXX:5:2211:22903:32479,ST-E00206:201:H5L57ALXX:4:2105:7952:63016,ST-E00206:209:H5CCCALXX:5:2207:24243:40460,ST-E00206:201:H5L57ALXX:4:2211:2522:43871,
chr1:32668225|32680614	chr1	32668225	32680614	3	1_2_1	4	0.600	exon	uc001bvr.3,uc057elx.1,	+	ST-E00206:201:H5L57ALXX:4:1120:24263:14406,ST-E00206:201:H5L57ALXX:4:1217:7374:40425,ST-E00206:201:H5L57ALXX:4:2117:23746:64281,
chr1:32779382|32781145	chr1	32779382	32781145	3	2_1_2	83	0.067	exon	uc057emm.1,uc057eml.1,uc001bvy.2,	-	ST-E00206:201:H5L57ALXX:4:1222:9495:63367,ST-E00206:209:H5CCCALXX:5:2112:11109:63314,ST-E00206:201:H5L57ALXX:4:1113:29166:69204,
